cod_portico;aux;Km;PK.Salida;PK.Entrada;Dirección;Calzada;Autopista;Orden;Eje;edge_id_sumo;lane_id_sumo;pos_m;lat-lon
0;1;10,570;;;NS;Poniente;C;0;RUTA 5 NORTE;1;1;1;-33.36424372284003, -70.70093505437958
18;0;9,841;9,53;10,15;NS;Poniente;C;1;RUTA 5 NORTE;1;1;1;-33.36826536637899, -70.69939087665412
15;0;2,636;2,37;2,68;NS;Poniente;C;2;RUTA 5 NORTE;1;1;1;-33.42606219667478, -70.66950452965328
14;1;0;;;;Poniente;C;3;RUTA 5 NORTE;1;1;1;-33.44841019106822, -70.6600882103567
15;1;0;;;NS;Poniente;C;4;RUTA 5 SUR;1;1;1;-33.42606219667478, -70.66950452965328
14;0;0,257;0,43;0,2;NS;Poniente;C;5;RUTA 5 SUR;1;1;1;-33.44841019106822, -70.6600882103567
12;0;2,569;2,85;2,4;NS;Poniente;C;6;RUTA 5 SUR;1;1;1;-33.46863336791407, -70.65655835004421
11;0;5,713;6,05;5,22;NS;Poniente;C;7;RUTA 5 SUR;1;1;1;-33.49484804210332, -70.66384429538397
9;0;7,118;8,61;6,56;NS;Poniente;C;8;RUTA 5 SUR;549786063;0;7118;-33.50711110891888, -70.66940794336251
8;0;12,405;12,53;11,35;NS;Poniente;C;9;RUTA 5 SUR;15725233;0;12405;-33.51664911779255, -70.67398427497096
6;0;16,915;17,31;16,9;NS;Poniente;C;10;RUTA 5 SUR;1;1;1;-33.582277234228236, -70.7139622183617
37;0;18,515;;;NS;Poniente;C;11;RUTA 5 SUR;1;1;1;-33.59686635432699, -70.71585542345092
4;0;21,392;21,5;20,83;NS;Poniente;C;12;RUTA 5 SUR;1;1;1;-33.621960343819104, -70.71489625788959
1;0;28,709;28,73;28,39;NS;Poniente;C;13;RUTA 5 SUR;1;1;1;-33.68615514474193, -70.72637118243208
18;1;8,500;;;NS;Poniente;NO;0;G VELASQUEZ NORTE;1;1;1;-33.376898079431854, -70.69534069122072
29;0;8,306;6,36;8,5;NS;Poniente;NO;1;G VELASQUEZ NORTE;1;1;1;-33.38188297530333, -70.69547093848813
26;0;0,740;0,65;1,28;NS;Poniente;NO;2;G VELASQUEZ NORTE;1;1;1;-33.44742333857646, -70.6922988885968
24;1;0;;;NS;Poniente;NO;3;G VELASQUEZ NORTE;1;1;1;-33.453846579263114, -70.69085476163988
26;1;0;;;NS;Poniente;NO;4;G VELASQUEZ SUR;1;1;1;-33.453846579263114, -70.69085476163988
24;0;1,829;1,88;0,41;NS;Poniente;NO;5;G VELASQUEZ SUR;1;1;1;-33.46974886503997, -70.68820050515369
22;0;6,022;6,19;5,06;NS;Poniente;NO;6;G VELASQUEZ SUR;1;1;1;-33.50557883720435, -70.6970151937462
20;0;9,612;10,23;9,3;NS;Poniente;NO;7;G VELASQUEZ SUR;1;1;1;-33.536359144450145, -70.70768991804853
32;0;14,287;14,61;13,95;NS;Poniente;NO;8;G VELASQUEZ SUR;1;1;1;-33.55883048000443, -70.71058209104372
0;1;29,000;;;SN;Oriente;C;0;RUTA 5 SUR;1;1;1;-33.68920799057203, -70.72564421512116
2;0;24,159;24,09;25,75;SN;Oriente;C;1;RUTA 5 SUR;1;1;1;-33.64724085939263, -70.71152712004732
3;0;21,409;20,49;21,71;SN;Oriente;C;2;RUTA 5 SUR;1;1;1;-33.62265212986794, -70.71456504825834
5;0;16,949;16,52;17,37;SN;Oriente;C;3;RUTA 5 SUR;1;1;1;-33.58261545300017, -70.7138221011285
7;0;12,433;11,4;12,68;SN;Oriente;C;4;RUTA 5 SUR;1;1;1;-33.5478391386016, -70.69695486313678
30;0;7,128;6,56;8,58;SN;Oriente;C;5;RUTA 5 SUR;1;1;1;-33.50719461949879, -70.66929639807394
10;0;5,741;5,27;6,02;SN;Oriente;C;6;RUTA 5 SUR;1;1;1;-33.49557985070592, -70.66385657775524
31;0;2,569;;;SN;Oriente;C;7;RUTA 5 SUR;1;1;1;-33.46896761551489, -70.6561981015737
13;0;0,314;0,08;0,48;SN;Oriente;C;8;RUTA 5 SUR;1;1;1;-33.44891004505456, -70.65959585989489
16;1;0;;;SN;Oriente;C;9;RUTA 5 SUR;1;1;1;-33.44624447871966, -70.660651652783
13;1;0;;;SN;Oriente;C;10;RUTA 5 NORTE;1;1;1;-33.44624447871966, -70.660651652783
16;0;4,041;5,15;3,84;SN;Oriente;C;11;RUTA 5 NORTE;1;1;1;-33.41717212148751, -70.67871213342475
17;0;9,801;9,92;9,67;SN;Oriente;C;12;RUTA 5 NORTE;1;1;1;-33.36854423467552, -70.69903048035637
5;0;11,792;;;SN;Oriente;NO;0;G VELASQUEZ SUR;1;1;1;-33.55662520197744, -70.70981103125219
19;0;11,272;11,11;11,32;SN;Oriente;NO;1;G VELASQUEZ SUR;1;1;1;-33.5513311510023, -70.7090641036489
21;0;6,112;5,82;6,57;SN;Oriente;NO;2;G VELASQUEZ SUR;1;1;1;-33.506407378422495, -70.69724075496983
23;0;1,707;0,95;2,07;SN;Oriente;NO;3;G VELASQUEZ SUR;1;1;1;-33.46904527841352, -70.68810148116704
25;1;0;;;SN;Oriente;NO;4;G VELASQUEZ SUR;1;1;1;-33.453846579263114, -70.69085476163988
23;1;0;;;SN;Oriente;NO;5;G VELASQUEZ NORTE;1;1;1;-33.453846579263114, -70.69085476163988
25;0;0,835;1,27;0,67;SN;Oriente;NO;6;G VELASQUEZ NORTE;1;1;1;-33.446577790856075, -70.69206671718909
28;0;8,271;8,4;7,09;SN;Oriente;NO;7;G VELASQUEZ NORTE;1;1;1;-33.38219918070119, -70.69557053698269
17;1;8,750;;;SN;Oriente;NO;8;G VELASQUEZ NORTE;1;1;1;-33.37671030919827, -70.69532024981136